,bjd,rv,rv_err,ha,ha_err,hb,hb_err,hg,hg_err,na,na_err,s,s_err,fwhm,inst
57,58490.800525,-5679.7,2.0,6.89,0.02,5.56,0.05,12.28,0.16,0.69,0.02,0.7,0.1,3.0397,23.2113
58,58491.760906,-5677.3,2.2,6.88,0.02,5.71,0.06,13.15,0.19,0.72,0.02,0.61,0.11,3.0478,23.0091
59,58491.771265,-5677.3,2.3,6.92,0.02,5.65,0.06,12.74,0.19,0.74,0.02,0.86,0.11,3.0555,22.9963
60,58501.727929,-5670.6,2.5,6.93,0.03,5.49,0.06,12.44,0.19,0.72,0.02,0.84,0.11,3.0616,23.2541
61,58502.738265,-5672.4,1.7,6.87,0.02,5.56,0.04,12.06,0.13,0.73,0.01,0.72,0.07,,
62,58502.750267,-5670.9,1.6,6.9,0.02,5.72,0.04,12.69,0.12,0.72,0.01,0.75,0.07,,
63,58503.795048,-5696.1,2.4,6.86,0.02,5.51,0.07,10.91,0.22,0.74,0.02,0.72,0.16,3.0476,22.8541
64,58504.749966,-5682.5,1.9,6.83,0.02,5.41,0.05,11.74,0.14,0.7,0.02,0.67,0.09,3.0599,23.3164
65,58505.739653,-5676.7,2.3,6.97,0.02,5.52,0.05,12.54,0.18,0.74,0.02,0.73,0.1,,
66,58506.697811,-5679.3,1.7,6.92,0.02,5.42,0.04,12.55,0.12,0.7,0.01,0.66,0.07,3.0614,23.3823
67,58506.709223,-5678.8,1.6,6.92,0.02,5.49,0.04,12.16,0.12,0.71,0.01,0.71,0.07,3.0625,23.3814
68,58507.780868,-5680.5,3.7,7.08,0.04,5.63,0.1,11.88,0.34,0.74,0.04,0.93,0.23,3.0602,22.9098
69,58509.552019,-5658.3,1.2,7.15,0.01,5.86,0.03,12.91,0.08,0.85,0.01,0.87,0.03,,
70,58511.568314000004,-5661.5,1.3,7.04,0.01,5.5,0.03,12.11,0.09,0.83,0.01,0.63,0.04,,
71,58512.581045,-5662.1,1.0,7.12,0.01,5.79,0.02,12.91,0.07,0.77,0.01,0.7,0.02,,
72,58514.801257,-5679.7,2.0,7.3,0.02,5.91,0.05,12.81,0.2,0.72,0.02,0.71,0.16,3.0502,23.0565
73,58516.778059,-5679.5,2.2,7.21,0.02,5.71,0.06,12.61,0.2,0.71,0.02,0.73,0.14,3.0523,23.142
74,58516.788962,-5679.0,2.0,7.16,0.02,5.61,0.05,12.48,0.17,0.71,0.02,0.8,0.11,3.0525,23.2896
75,58517.784447,-5674.5,2.3,7.2,0.02,5.53,0.05,12.31,0.16,0.69,0.02,0.57,0.1,3.0657,23.4624
76,58517.796183,-5680.8,3.3,7.3,0.03,5.84,0.09,12.52,0.35,0.69,0.04,0.84,0.33,3.0457,23.1251
77,58518.763472,-5679.6,2.0,7.14,0.02,5.52,0.05,12.12,0.19,0.67,0.02,0.53,0.18,3.0482,23.0191
78,58520.759707,-5675.3,2.5,7.15,0.03,5.98,0.07,12.4,0.24,0.77,0.03,0.54,0.2,3.0392,23.1035
79,58520.77186,-5676.8,3.1,7.21,0.03,5.78,0.08,12.44,0.3,0.68,0.03,0.72,0.23,3.034,23.119
80,58522.75571,-5675.6,2.5,7.37,0.03,6.1,0.07,14.39,0.29,0.72,0.02,0.71,0.26,3.0439,23.1137
81,58522.766728,-5676.5,3.1,7.33,0.03,5.91,0.08,13.59,0.38,0.69,0.03,0.62,0.38,3.0551,23.105
82,58523.757779,-5675.7,2.0,7.14,0.02,5.55,0.05,12.41,0.2,0.65,0.02,0.76,0.16,3.0509,23.2302
83,58523.769735,-5675.2,1.9,7.18,0.02,5.57,0.05,12.11,0.2,0.66,0.02,0.6,0.17,,
84,58524.753378,-5671.9,1.8,7.12,0.02,5.57,0.04,12.37,0.17,0.68,0.01,0.64,0.13,3.0542,23.2679
85,58524.765126,-5670.1,1.9,7.1,0.02,5.5,0.04,12.23,0.17,0.64,0.02,0.66,0.14,3.0539,23.3281
86,58528.718492,-5676.7,2.4,7.05,0.02,5.42,0.06,12.76,0.24,0.69,0.02,0.85,0.2,3.0524,23.1373
87,58528.730217,-5676.5,2.5,7.02,0.03,5.44,0.06,12.22,0.24,0.67,0.02,0.38,0.22,3.056,23.1418
88,58529.781939,-5678.9,2.9,7.08,0.03,5.52,0.08,12.4,0.3,0.73,0.03,0.59,0.26,3.0499,23.2465
89,58530.74808,-5684.6,2.2,7.04,0.02,5.55,0.06,11.76,0.22,0.66,0.02,0.46,0.19,3.0537,23.1379
90,58530.759088,-5681.0,2.1,7.07,0.02,5.53,0.05,11.53,0.19,0.69,0.02,0.63,0.16,3.0506,23.2491
91,58531.755542,-5678.7,2.1,7.01,0.02,5.3,0.05,11.58,0.19,0.67,0.02,0.61,0.14,3.0507,23.2451
92,58531.767278,-5678.4,2.0,7.0,0.02,5.4,0.05,11.54,0.19,0.72,0.02,0.65,0.15,3.0547,23.2272
93,58537.749078,-5683.0,1.7,7.14,0.02,5.54,0.04,11.94,0.18,0.71,0.01,0.71,0.14,3.0579,23.1805
94,58537.760281,-5682.2,1.8,7.1,0.02,5.53,0.05,12.22,0.2,0.71,0.01,0.81,0.16,3.0528,23.1545
95,58538.744268,-5678.7,1.7,7.14,0.02,5.72,0.04,12.52,0.19,0.71,0.01,0.77,0.16,3.0526,23.0935
96,58538.755692,-5678.9,1.7,7.15,0.02,5.56,0.05,12.01,0.2,0.72,0.01,0.57,0.17,3.0523,23.0731
