bjd,rv,rv_err,fwhm,fwhm_err,bis,bis_e,contrast,contrast_err,s,s_err,ha,ha_err,na,na_err,berv,inst
58879.69353902992,-5580.206381,0.601312,4511.335316,1.202624,18.556273,1.202624,42.681796,0.011378,0.784977,0.001908,0.638522,0.000090,0.074506,0.000055,6.596411,Post
58882.75253902981,-5576.292891,0.499841,4516.712208,0.999682,17.992151,0.999682,42.645040,0.009439,0.693629,0.001357,0.604524,0.000071,0.065938,0.000042,6.414302,Post
58893.626456200145,-5572.656511,0.594940,4530.018746,1.189880,17.895486,1.189880,42.561683,0.011179,0.761721,0.001868,0.616654,0.000087,0.067882,0.000052,5.939398,Post
58896.734808119945,-5572.566023,0.515555,4527.513636,1.031111,16.541626,1.031111,42.562874,0.009693,0.692639,0.001456,0.595277,0.000072,0.063704,0.000043,5.630442,Post
58899.76618980989,-5578.264669,0.746844,4525.869489,1.493688,16.675843,1.493688,42.552572,0.014044,0.838641,0.002729,0.653131,0.000118,0.074439,0.000072,5.389750,Post
58904.70237507997,-5575.309208,0.703417,4525.141364,1.406833,19.210443,1.406833,42.567939,0.013234,0.663027,0.002509,0.604585,0.000106,0.067823,0.000065,5.047757,Post
58908.72555971984,-5574.713109,0.624755,4517.098183,1.249510,17.993359,1.249510,42.595288,0.011783,0.704318,0.002041,0.599642,0.000092,0.068218,0.000056,4.684142,Post
58910.62235468021,-5575.435627,0.574009,4516.605518,1.148018,17.795128,1.148018,42.609652,0.010830,0.637421,0.001668,0.583516,0.000084,0.066784,0.000050,4.601794,Post
58912.74303189013,-5570.733418,0.740746,4515.026811,1.481492,17.298926,1.481492,42.661646,0.013998,0.654171,0.002818,0.600409,0.000113,0.073831,0.000071,4.306718,Post
58926.58588042017,-5579.203590,0.721367,4504.545146,1.442734,19.837497,1.442734,42.718599,0.013682,0.568317,0.002506,0.582347,0.000111,0.071238,0.000068,3.027939,Post
58927.72608147003,-5579.119681,0.673235,4503.991507,1.346469,18.009136,1.346469,42.705390,0.012767,0.552229,0.002371,0.584401,0.000099,0.065969,0.000061,2.798029,Post
58930.57736935979,-5580.879085,0.576619,4500.733872,1.153239,17.992222,1.153239,42.708871,0.010943,0.559104,0.001670,0.590075,0.000086,0.063564,0.000050,2.594783,Post
